Datatype,Source,Target,Product,Valuetype,Year,Value
Detailed trade matrix,Afghanistan,Argentina,"Meat, chicken",Import Quantity (tonnes),2011,198.0
Detailed trade matrix,Afghanistan,Belgium,"Meat, chicken",Import Quantity (tonnes),2011,23.0
Detailed trade matrix,Afghanistan,Brazil,"Meat, chicken",Import Quantity (tonnes),2011,5153.0
Detailed trade matrix,Afghanistan,Canada,"Meat, chicken",Import Quantity (tonnes),2011,226.0
Detailed trade matrix,Afghanistan,China,"Meat, chicken",Import Quantity (tonnes),2011,103.0
Detailed trade matrix,Afghanistan,"China, mainland","Meat, chicken",Import Quantity (tonnes),2011,103.0
Detailed trade matrix,Afghanistan,Denmark,"Meat, chicken",Import Quantity (tonnes),2011,129.0
Detailed trade matrix,Afghanistan,Germany,"Meat, chicken",Import Quantity (tonnes),2011,40.0
Detailed trade matrix,Afghanistan,India,"Meat, chicken",Import Quantity (tonnes),2011,571.0
Detailed trade matrix,Afghanistan,Iran (Islamic Republic of),"Meat, chicken",Import Quantity (tonnes),2011,125.0
Detailed trade matrix,Afghanistan,Japan,"Meat, chicken",Import Quantity (tonnes),2011,13.0
Detailed trade matrix,Afghanistan,Malaysia,"Meat, chicken",Import Quantity (tonnes),2011,284.0
Detailed trade matrix,Afghanistan,Pakistan,"Meat, chicken",Import Quantity (tonnes),2011,1898.0
Detailed trade matrix,Afghanistan,Turkey,"Meat, chicken",Import Quantity (tonnes),2011,230.0
Detailed trade matrix,Afghanistan,Ukraine,"Meat, chicken",Import Quantity (tonnes),2011,35.0
Detailed trade matrix,Afghanistan,United Arab Emirates,"Meat, chicken",Import Quantity (tonnes),2011,267.0
Detailed trade matrix,Afghanistan,United States of America,"Meat, chicken",Import Quantity (tonnes),2011,41677.0
Detailed trade matrix,Afghanistan,Uruguay,"Meat, chicken",Import Quantity (tonnes),2011,33.0
Detailed trade matrix,Albania,Argentina,"Meat, chicken",Import Quantity (tonnes),2011,63.0
Detailed trade matrix,Albania,Belgium,"Meat, chicken",Import Quantity (tonnes),2011,331.0
Detailed trade matrix,Albania,Brazil,"Meat, chicken",Import Quantity (tonnes),2011,4296.0
Detailed trade matrix,Albania,Canada,"Meat, chicken",Import Quantity (tonnes),2011,859.0
Detailed trade matrix,Albania,France,"Meat, chicken",Import Quantity (tonnes),2011,379.0
Detailed trade matrix,Albania,Germany,"Meat, chicken",Import Quantity (tonnes),2011,295.0
Detailed trade matrix,Albania,Greece,"Meat, chicken",Import Quantity (tonnes),2011,2844.0
Detailed trade matrix,Albania,Italy,"Meat, chicken",Import Quantity (tonnes),2011,3285.0
Detailed trade matrix,Albania,Netherlands,"Meat, chicken",Import Quantity (tonnes),2011,252.0
Detailed trade matrix,Albania,Paraguay,"Meat, chicken",Import Quantity (tonnes),2011,54.0
Detailed trade matrix,Albania,Romania,"Meat, chicken",Import Quantity (tonnes),2011,21.0
Detailed trade matrix,Albania,Serbia,"Meat, chicken",Import Quantity (tonnes),2011,7.0
Detailed trade matrix,Albania,Slovenia,"Meat, chicken",Import Quantity (tonnes),2011,7.0
Detailed trade matrix,Albania,Spain,"Meat, chicken",Import Quantity (tonnes),2011,89.0
Detailed trade matrix,Albania,The former Yugoslav Republic of Macedonia,"Meat, chicken",Import Quantity (tonnes),2011,11.0
Detailed trade matrix,Albania,Turkey,"Meat, chicken",Import Quantity (tonnes),2011,24.0
Detailed trade matrix,Albania,United States of America,"Meat, chicken",Import Quantity (tonnes),2011,9386.0
Detailed trade matrix,Algeria,China,"Meat, chicken",Export Quantity (tonnes),2011,10.0
Detailed trade matrix,Algeria,"China, Hong Kong SAR","Meat, chicken",Export Quantity (tonnes),2011,10.0
Detailed trade matrix,Algeria,Egypt,"Meat, chicken",Export Quantity (tonnes),2011,6.0
Detailed trade matrix,Algeria,Japan,"Meat, chicken",Import Quantity (tonnes),2011,0.0
Detailed trade matrix,Algeria,Viet Nam,"Meat, chicken",Export Quantity (tonnes),2011,17.0
Detailed trade matrix,Antigua and Barbuda,Barbados,"Meat, chicken",Import Quantity (tonnes),2011,9.0
