Datatype,Source,Target,Product,Valuetype,Year,Value
Detailed trade matrix,Afghanistan,Iran (Islamic Republic of),Chickens,Import Quantity (1000 Head),2011,1388.0
Detailed trade matrix,Afghanistan,Pakistan,Chickens,Import Quantity (1000 Head),2011,3332.0
Detailed trade matrix,Albania,Austria,Chickens,Import Quantity (1000 Head),2011,485.0
Detailed trade matrix,Albania,Bulgaria,Chickens,Import Quantity (1000 Head),2011,8.0
Detailed trade matrix,Albania,Greece,Chickens,Import Quantity (1000 Head),2011,2038.0
Detailed trade matrix,Albania,Italy,Chickens,Import Quantity (1000 Head),2011,3100.0
Detailed trade matrix,Albania,Netherlands,Chickens,Import Quantity (1000 Head),2011,135.0
Detailed trade matrix,Albania,Romania,Chickens,Import Quantity (1000 Head),2011,197.0
Detailed trade matrix,Albania,The former Yugoslav Republic of Macedonia,Chickens,Import Quantity (1000 Head),2011,939.0
Detailed trade matrix,Algeria,France,Chickens,Import Quantity (1000 Head),2011,3014.0
Detailed trade matrix,Algeria,Hungary,Chickens,Import Quantity (1000 Head),2011,26.0
Detailed trade matrix,Algeria,Italy,Chickens,Import Quantity (1000 Head),2011,814.0
Detailed trade matrix,Algeria,Spain,Chickens,Import Quantity (1000 Head),2011,286.0
Detailed trade matrix,Algeria,United Kingdom,Chickens,Import Quantity (1000 Head),2011,71.0
Detailed trade matrix,Antigua and Barbuda,Barbados,Chickens,Import Quantity (1000 Head),2011,15.0
Detailed trade matrix,Antigua and Barbuda,Montserrat,Chickens,Export Quantity (1000 Head),2011,2.0
Detailed trade matrix,Antigua and Barbuda,United States of America,Chickens,Import Quantity (1000 Head),2011,7.0
Detailed trade matrix,Argentina,Bolivia (Plurinational State of),Chickens,Export Quantity (1000 Head),2011,3.0
Detailed trade matrix,Argentina,Brazil,Chickens,Import Quantity (1000 Head),2011,309.0
Detailed trade matrix,Argentina,Germany,Chickens,Import Quantity (1000 Head),2011,107.0
Detailed trade matrix,Argentina,United States of America,Chickens,Import Quantity (1000 Head),2011,191.0
Detailed trade matrix,Argentina,Uruguay,Chickens,Export Quantity (1000 Head),2011,280.0
Detailed trade matrix,Armenia,Georgia,Chickens,Export Quantity (1000 Head),2011,124.0
Detailed trade matrix,Armenia,Germany,Chickens,Import Quantity (1000 Head),2011,17.0
Detailed trade matrix,Armenia,Hungary,Chickens,Import Quantity (1000 Head),2011,73.0
Detailed trade matrix,Armenia,Iran (Islamic Republic of),Chickens,Import Quantity (1000 Head),2011,820.0
Detailed trade matrix,Armenia,Netherlands,Chickens,Import Quantity (1000 Head),2011,44.0
Detailed trade matrix,Armenia,Russian Federation,Chickens,Import Quantity (1000 Head),2011,265.0
Detailed trade matrix,Armenia,Turkey,Chickens,Import Quantity (1000 Head),2011,213.0
Detailed trade matrix,Armenia,United Arab Emirates,Chickens,Import Quantity (1000 Head),2011,0.0
Detailed trade matrix,Aruba,Brazil,Chickens,Import Quantity (1000 Head),2011,86.0
Detailed trade matrix,Aruba,Colombia,Chickens,Export Quantity (1000 Head),2011,21.0
Detailed trade matrix,Aruba,Netherlands,Chickens,Import Quantity (1000 Head),2011,0.0
Detailed trade matrix,Aruba,Netherlands Antilles,Chickens,Export Quantity (1000 Head),2011,3.0
Detailed trade matrix,Aruba,United States of America,Chickens,Export Quantity (1000 Head),2011,1.0
