Datatype,Source,Target,Product,Valuetype,Year,Value
Detailed trade matrix,Afghanistan,Iran (Islamic Republic of),Chickens,Import Quantity (1000 Head),2011,1388.0
Detailed trade matrix,Afghanistan,Pakistan,Cattle,Import Quantity (Head),2011,24.0
Detailed trade matrix,Afghanistan,Pakistan,Chickens,Import Quantity (1000 Head),2011,3332.0
Detailed trade matrix,Albania,Austria,Cattle,Import Quantity (Head),2011,94.0
Detailed trade matrix,Albania,Austria,Chickens,Import Quantity (1000 Head),2011,485.0
Detailed trade matrix,Albania,Bulgaria,Cattle,Import Quantity (Head),2011,22105.0
Detailed trade matrix,Albania,Bulgaria,Chickens,Import Quantity (1000 Head),2011,8.0
Detailed trade matrix,Albania,Croatia,Pigs,Import Quantity (Head),2011,5899.0
Detailed trade matrix,Albania,Czech Republic,Pigs,Import Quantity (Head),2011,322.0
Detailed trade matrix,Albania,Denmark,Cattle,Import Quantity (Head),2011,45.0
Detailed trade matrix,Albania,Germany,Cattle,Import Quantity (Head),2011,32.0
Detailed trade matrix,Albania,Greece,Cattle,Import Quantity (Head),2011,13.0
Detailed trade matrix,Albania,Greece,Chickens,Import Quantity (1000 Head),2011,2038.0
Detailed trade matrix,Albania,Greece,Pigs,Import Quantity (Head),2011,57164.0
Detailed trade matrix,Albania,Hungary,Pigs,Import Quantity (Head),2011,13799.0
Detailed trade matrix,Albania,Ireland,Cattle,Import Quantity (Head),2011,115.0
Detailed trade matrix,Albania,Italy,Cattle,Import Quantity (Head),2011,1549.0
Detailed trade matrix,Albania,Italy,Chickens,Import Quantity (1000 Head),2011,3100.0
Detailed trade matrix,Albania,Italy,Pigs,Import Quantity (Head),2011,855.0
Detailed trade matrix,Albania,Netherlands,Cattle,Import Quantity (Head),2011,34.0
Detailed trade matrix,Albania,Netherlands,Chickens,Import Quantity (1000 Head),2011,135.0
Detailed trade matrix,Albania,Netherlands,Pigs,Import Quantity (Head),2011,1290.0
Detailed trade matrix,Albania,Romania,Cattle,Import Quantity (Head),2011,154.0
Detailed trade matrix,Albania,Romania,Chickens,Import Quantity (1000 Head),2011,197.0
