Datatype,Source,Target,Product,Valuetype,Year,Value
Detailed trade matrix,Brazil,Albania,Coffee green,Export Quantity (tonnes),2011,230
Detailed trade matrix,Brazil,Algeria,Coffee green,Export Quantity (tonnes),2011,4553
Detailed trade matrix,Brazil,Angola,Coffee green,Export Quantity (tonnes),2011,1
Detailed trade matrix,Brazil,Argentina,Coffee green,Export Quantity (tonnes),2011,27941
Detailed trade matrix,Brazil,Armenia,Coffee green,Export Quantity (tonnes),2011,0
Detailed trade matrix,Brazil,Australia,Coffee green,Export Quantity (tonnes),2011,11297
Detailed trade matrix,Brazil,Austria,Coffee green,Export Quantity (tonnes),2011,1711
Detailed trade matrix,Brazil,Bahrain,Coffee green,Export Quantity (tonnes),2011,19
Detailed trade matrix,Brazil,Belgium,Coffee green,Export Quantity (tonnes),2011,133113
Detailed trade matrix,Brazil,Bulgaria,Coffee green,Export Quantity (tonnes),2011,1004
Detailed trade matrix,Brazil,Cabo Verde,Coffee green,Export Quantity (tonnes),2011,442
Detailed trade matrix,Brazil,Canada,Coffee green,Export Quantity (tonnes),2011,26557
Detailed trade matrix,Brazil,Chile,Coffee green,Export Quantity (tonnes),2011,7037
Detailed trade matrix,Brazil,China Hong Kong SAR,Coffee green,Export Quantity (tonnes),2011,634
Detailed trade matrix,Brazil,China mainland,Coffee green,Export Quantity (tonnes),2011,1419
Detailed trade matrix,Brazil,China Taiwan Province of,Coffee green,Export Quantity (tonnes),2011,2304
Detailed trade matrix,Brazil,Colombia,Coffee green,Export Quantity (tonnes),2011,20
Detailed trade matrix,Brazil,Croatia,Coffee green,Export Quantity (tonnes),2011,7877
Detailed trade matrix,Brazil,Cuba,Coffee green,Export Quantity (tonnes),2011,7305
Detailed trade matrix,Brazil,Cyprus,Coffee green,Export Quantity (tonnes),2011,1729
Detailed trade matrix,Brazil,Czech Republic,Coffee green,Export Quantity (tonnes),2011,1452
Detailed trade matrix,Brazil,Democratic People's Republic of Korea,Coffee green,Export Quantity (tonnes),2011,122
Detailed trade matrix,Brazil,Denmark,Coffee green,Export Quantity (tonnes),2011,4477
Detailed trade matrix,Brazil,Ecuador,Coffee green,Export Quantity (tonnes),2011,3235
Detailed trade matrix,Brazil,Egypt,Coffee green,Export Quantity (tonnes),2011,1600
Detailed trade matrix,Brazil,Equatorial Guinea,Coffee green,Export Quantity (tonnes),2011,0
Detailed trade matrix,Brazil,Estonia,Coffee green,Export Quantity (tonnes),2011,134
Detailed trade matrix,Brazil,Finland,Coffee green,Export Quantity (tonnes),2011,27586
Detailed trade matrix,Brazil,France,Coffee green,Export Quantity (tonnes),2011,41858
Detailed trade matrix,Brazil,French Polynesia,Coffee green,Export Quantity (tonnes),2011,38
Detailed trade matrix,Brazil,Georgia,Coffee green,Export Quantity (tonnes),2011,18
Detailed trade matrix,Brazil,Germany,Coffee green,Export Quantity (tonnes),2011,361672
Detailed trade matrix,Brazil,Greece,Coffee green,Export Quantity (tonnes),2011,22729
Detailed trade matrix,Brazil,Honduras,Coffee green,Export Quantity (tonnes),2011,36
Detailed trade matrix,Brazil,Iceland,Coffee green,Export Quantity (tonnes),2011,421
Detailed trade matrix,Brazil,Indonesia,Coffee green,Export Quantity (tonnes),2011,1920
Detailed trade matrix,Brazil,Ireland,Coffee green,Export Quantity (tonnes),2011,715
Detailed trade matrix,Brazil,Israel,Coffee green,Export Quantity (tonnes),2011,3281
Detailed trade matrix,Brazil,Italy,Coffee green,Export Quantity (tonnes),2011,157728
Detailed trade matrix,Brazil,Japan,Coffee green,Export Quantity (tonnes),2011,135965
Detailed trade matrix,Brazil,Jordan,Coffee green,Export Quantity (tonnes),2011,4509
Detailed trade matrix,Brazil,Kuwait,Coffee green,Export Quantity (tonnes),2011,77
Detailed trade matrix,Brazil,Latvia,Coffee green,Export Quantity (tonnes),2011,960
Detailed trade matrix,Brazil,Lebanon,Coffee green,Export Quantity (tonnes),2011,18682
Detailed trade matrix,Brazil,Libya,Coffee green,Export Quantity (tonnes),2011,444
Detailed trade matrix,Brazil,Lithuania,Coffee green,Export Quantity (tonnes),2011,38
Detailed trade matrix,Brazil,Luxembourg,Coffee green,Export Quantity (tonnes),2011,125
Detailed trade matrix,Brazil,Malaysia,Coffee green,Export Quantity (tonnes),2011,4618
Detailed trade matrix,Brazil,Mexico,Coffee green,Export Quantity (tonnes),2011,27080
Detailed trade matrix,Brazil,Morocco,Coffee green,Export Quantity (tonnes),2011,691
Detailed trade matrix,Brazil,Netherlands,Coffee green,Export Quantity (tonnes),2011,32120
Detailed trade matrix,Brazil,New Zealand,Coffee green,Export Quantity (tonnes),2011,1409
Detailed trade matrix,Brazil,Norway,Coffee green,Export Quantity (tonnes),2011,18401
Detailed trade matrix,Brazil,Oman,Coffee green,Export Quantity (tonnes),2011,141
Detailed trade matrix,Brazil,Panama,Coffee green,Export Quantity (tonnes),2011,77
Detailed trade matrix,Brazil,Paraguay,Coffee green,Export Quantity (tonnes),2011,428
