"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock Primary"	"Afghanistan"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"27280.0"
"Livestock Primary"	"Afghanistan"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"32000.0"
"Livestock Primary"	"Albania"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"15799.0"
"Livestock Primary"	"Albania"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"22700.0"
"Livestock Primary"	"Algeria"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"251789.0"
"Livestock Primary"	"Algeria"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"256000.0"
"Livestock Primary"	"American Samoa"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"30.0"
"Livestock Primary"	"American Samoa"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"30.0"
"Livestock Primary"	"Angola"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"24735.0"
"Livestock Primary"	"Angola"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"25000.0"
"Livestock Primary"	"Antigua and Barbuda"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"279.0"
"Livestock Primary"	"Antigua and Barbuda"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"300.0"
"Livestock Primary"	"Argentina"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"678754.0"
"Livestock Primary"	"Argentina"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"679078.0"
"Livestock Primary"	"Armenia"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"3992.0"
"Livestock Primary"	"Armenia"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"5300.0"
"Livestock Primary"	"Australia"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"549407.0"
"Livestock Primary"	"Australia"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"548712.0"
"Livestock Primary"	"Austria"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"79759.0"
"Livestock Primary"	"Austria"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"80140.0"
"Livestock Primary"	"Azerbaijan"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"58391.0"
"Livestock Primary"	"Azerbaijan"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"60500.0"
