"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Live Animals"	"Afghanistan"	"Cattle"	"Stocks (Head)"	2011	"5524000.0"
"Live Animals"	"Afghanistan"	"Chickens"	"Stocks (1000 Head)"	2011	"13378.0"
"Live Animals"	"Albania"	"Cattle"	"Stocks (Head)"	2011	"492000.0"
"Live Animals"	"Albania"	"Chickens"	"Stocks (1000 Head)"	2011	"6558.0"
"Live Animals"	"Albania"	"Pigs"	"Stocks (Head)"	2011	"163000.0"
"Live Animals"	"Algeria"	"Cattle"	"Stocks (Head)"	2011	"1790140.0"
"Live Animals"	"Algeria"	"Chickens"	"Stocks (1000 Head)"	2011	"127000.0"
"Live Animals"	"Algeria"	"Pigs"	"Stocks (Head)"	2011	"5200.0"
"Live Animals"	"American Samoa"	"Cattle"	"Stocks (Head)"	2011	"110.0"
"Live Animals"	"American Samoa"	"Chickens"	"Stocks (1000 Head)"	2011	"40.0"
"Live Animals"	"American Samoa"	"Pigs"	"Stocks (Head)"	2011	"10500.0"
"Live Animals"	"Angola"	"Cattle"	"Stocks (Head)"	2011	"4586570.0"
"Live Animals"	"Angola"	"Chickens"	"Stocks (1000 Head)"	2011	"19977.0"
"Live Animals"	"Angola"	"Pigs"	"Stocks (Head)"	2011	"2135979.0"
"Live Animals"	"Antigua and Barbuda"	"Cattle"	"Stocks (Head)"	2011	"14800.0"
"Live Animals"	"Antigua and Barbuda"	"Chickens"	"Stocks (1000 Head)"	2011	"150.0"
"Live Animals"	"Antigua and Barbuda"	"Pigs"	"Stocks (Head)"	2011	"3000.0"
"Live Animals"	"Argentina"	"Cattle"	"Stocks (Head)"	2011	"4.6E7"
"Live Animals"	"Argentina"	"Chickens"	"Stocks (1000 Head)"	2011	"100000.0"
"Live Animals"	"Argentina"	"Pigs"	"Stocks (Head)"	2011	"2350000.0"
"Live Animals"	"Armenia"	"Cattle"	"Stocks (Head)"	2011	"571400.0"
"Live Animals"	"Armenia"	"Chickens"	"Stocks (1000 Head)"	2011	"3274.0"
"Live Animals"	"Armenia"	"Pigs"	"Stocks (Head)"	2011	"114800.0"
"Live Animals"	"Australia"	"Cattle"	"Stocks (Head)"	2011	"2.8506169E7"
"Live Animals"	"Australia"	"Chickens"	"Stocks (1000 Head)"	2011	"90744.0"
"Live Animals"	"Australia"	"Pigs"	"Stocks (Head)"	2011	"2285214.0"
"Live Animals"	"Austria"	"Cattle"	"Stocks (Head)"	2011	"2013281.0"
"Live Animals"	"Austria"	"Chickens"	"Stocks (1000 Head)"	2011	"16000.0"
"Live Animals"	"Austria"	"Pigs"	"Stocks (Head)"	2011	"3134156.0"
"Live Animals"	"Azerbaijan"	"Cattle"	"Stocks (Head)"	2011	"2412305.0"
"Live Animals"	"Azerbaijan"	"Chickens"	"Stocks (1000 Head)"	2011	"23162.0"
"Live Animals"	"Azerbaijan"	"Pigs"	"Stocks (Head)"	2011	"6342.0"
"Live Animals"	"Bahamas"	"Cattle"	"Stocks (Head)"	2011	"750.0"
"Live Animals"	"Bahamas"	"Chickens"	"Stocks (1000 Head)"	2011	"3000.0"
"Live Animals"	"Bahamas"	"Pigs"	"Stocks (Head)"	2011	"5000.0"
"Live Animals"	"Bahrain"	"Cattle"	"Stocks (Head)"	2011	"10000.0"
"Live Animals"	"Bahrain"	"Chickens"	"Stocks (1000 Head)"	2011	"540.0"
"Live Animals"	"Bangladesh"	"Cattle"	"Stocks (Head)"	2011	"2.3121E7"
"Live Animals"	"Bangladesh"	"Chickens"	"Stocks (1000 Head)"	2011	"234686.0"
"Live Animals"	"Barbados"	"Cattle"	"Stocks (Head)"	2011	"10800.0"
"Live Animals"	"Barbados"	"Chickens"	"Stocks (1000 Head)"	2011	"3600.0"
"Live Animals"	"Barbados"	"Pigs"	"Stocks (Head)"	2011	"22000.0"
"Live Animals"	"Belarus"	"Cattle"	"Stocks (Head)"	2011	"4151300.0"
"Live Animals"	"Belarus"	"Chickens"	"Stocks (1000 Head)"	2011	"35200.0"
"Live Animals"	"Belarus"	"Pigs"	"Stocks (Head)"	2011	"3886700.0"
"Live Animals"	"Belgium"	"Cattle"	"Stocks (Head)"	2011	"2534950.0"
"Live Animals"	"Belgium"	"Chickens"	"Stocks (1000 Head)"	2011	"35376.0"
"Live Animals"	"Belgium"	"Pigs"	"Stocks (Head)"	2011	"6521447.0"
"Live Animals"	"Belize"	"Cattle"	"Stocks (Head)"	2011	"91200.0"
"Live Animals"	"Belize"	"Chickens"	"Stocks (1000 Head)"	2011	"1540.0"
"Live Animals"	"Belize"	"Pigs"	"Stocks (Head)"	2011	"16800.0"
"Live Animals"	"Benin"	"Cattle"	"Stocks (Head)"	2011	"2058000.0"
"Live Animals"	"Benin"	"Chickens"	"Stocks (1000 Head)"	2011	"17087.0"
"Live Animals"	"Benin"	"Pigs"	"Stocks (Head)"	2011	"383000.0"
"Live Animals"	"Bermuda"	"Cattle"	"Stocks (Head)"	2011	"650.0"
"Live Animals"	"Bermuda"	"Chickens"	"Stocks (1000 Head)"	2011	"50.0"
"Live Animals"	"Bermuda"	"Pigs"	"Stocks (Head)"	2011	"800.0"
"Live Animals"	"Bhutan"	"Cattle"	"Stocks (Head)"	2011	"297441.0"
"Live Animals"	"Bhutan"	"Chickens"	"Stocks (1000 Head)"	2011	"434.58"
"Live Animals"	"Bhutan"	"Pigs"	"Stocks (Head)"	2011	"21170.0"
"Live Animals"	"Bolivia (Plurinational State of)"	"Cattle"	"Stocks (Head)"	2011	"8400439.0"
"Live Animals"	"Bolivia (Plurinational State of)"	"Chickens"	"Stocks (1000 Head)"	2011	"195000.66"
"Live Animals"	"Bolivia (Plurinational State of)"	"Pigs"	"Stocks (Head)"	2011	"2712800.0"
"Live Animals"	"Bosnia and Herzegovina"	"Cattle"	"Stocks (Head)"	2011	"455258.0"
"Live Animals"	"Bosnia and Herzegovina"	"Chickens"	"Stocks (1000 Head)"	2011	"18703.0"
"Live Animals"	"Bosnia and Herzegovina"	"Pigs"	"Stocks (Head)"	2011	"576789.0"
"Live Animals"	"Botswana"	"Cattle"	"Stocks (Head)"	2011	"2554364.0"
"Live Animals"	"Botswana"	"Chickens"	"Stocks (1000 Head)"	2011	"5500.0"
"Live Animals"	"Botswana"	"Pigs"	"Stocks (Head)"	2011	"13000.0"
"Live Animals"	"Brazil"	"Cattle"	"Stocks (Head)"	2011	"2.12815311E8"
"Live Animals"	"Brazil"	"Chickens"	"Stocks (1000 Head)"	2011	"1268209.0"
"Live Animals"	"Brazil"	"Pigs"	"Stocks (Head)"	2011	"3.9307336E7"
"Live Animals"	"British Virgin Islands"	"Cattle"	"Stocks (Head)"	2011	"2400.0"
"Live Animals"	"British Virgin Islands"	"Pigs"	"Stocks (Head)"	2011	"1500.0"
"Live Animals"	"Brunei Darussalam"	"Cattle"	"Stocks (Head)"	2011	"852.0"
