Datatype,Source,Product,Valuetype,Year,Value
Livestock Primary,Afghanistan,"Meat indigenous, chicken",Production (1000 Head),2012,11530.0
Livestock Primary,Albania,"Meat indigenous, chicken",Production (1000 Head),2012,14999.0
Livestock Primary,Algeria,"Meat indigenous, chicken",Production (1000 Head),2012,252789.0
Livestock Primary,American Samoa,"Meat indigenous, chicken",Production (1000 Head),2012,30.0
Livestock Primary,Angola,"Meat indigenous, chicken",Production (1000 Head),2012,25735.0
Livestock Primary,Antigua and Barbuda,"Meat indigenous, chicken",Production (1000 Head),2012,279.0
Livestock Primary,Argentina,"Meat indigenous, chicken",Production (1000 Head),2012,684676.0
Livestock Primary,Armenia,"Meat indigenous, chicken",Production (1000 Head),2012,5292.0
Livestock Primary,Australia,"Meat indigenous, chicken",Production (1000 Head),2012,555670.0
Livestock Primary,Austria,"Meat indigenous, chicken",Production (1000 Head),2012,76619.0
Livestock Primary,Azerbaijan,"Meat indigenous, chicken",Production (1000 Head),2012,73391.0
Livestock Primary,Bahamas,"Meat indigenous, chicken",Production (1000 Head),2012,5302.0
Livestock Primary,Bahrain,"Meat indigenous, chicken",Production (1000 Head),2012,533.0
Livestock Primary,Bangladesh,"Meat indigenous, chicken",Production (1000 Head),2012,233642.0
Livestock Primary,Barbados,"Meat indigenous, chicken",Production (1000 Head),2012,12208.0
Livestock Primary,Belarus,"Meat indigenous, chicken",Production (1000 Head),2012,244067.0
Livestock Primary,Belgium,"Meat indigenous, chicken",Production (1000 Head),2012,217987.0
Livestock Primary,Belize,"Meat indigenous, chicken",Production (1000 Head),2012,8743.0
Livestock Primary,Benin,"Meat indigenous, chicken",Production (1000 Head),2012,29556.0
Livestock Primary,Bermuda,"Meat indigenous, chicken",Production (1000 Head),2012,100.0
Livestock Primary,Bhutan,"Meat indigenous, chicken",Production (1000 Head),2012,460.0
Livestock Primary,Bolivia (Plurinational State of),"Meat indigenous, chicken",Production (1000 Head),2012,286658.0
Livestock Primary,Bosnia and Herzegovina,"Meat indigenous, chicken",Production (1000 Head),2012,36108.0
Livestock Primary,Botswana,"Meat indigenous, chicken",Production (1000 Head),2012,8292.0
