Datatype,Source,Target,Product,Valuetype,Year,Value,
Detailed trade matrix,Afghanistan,Pakistan,Cattle,Import Quantity (Head),2011,24.0,
Detailed trade matrix,Albania,Austria,Cattle,Import Quantity (Head),2011,94.0,
Detailed trade matrix,Albania,Bulgaria,Cattle,Import Quantity (Head),2011,22105.0,
Detailed trade matrix,Albania,Denmark,Cattle,Import Quantity (Head),2011,45.0,
Detailed trade matrix,Albania,Germany,Cattle,Import Quantity (Head),2011,32.0,
Detailed trade matrix,Albania,Greece,Cattle,Import Quantity (Head),2011,13.0,
Detailed trade matrix,Albania,Ireland,Cattle,Import Quantity (Head),2011,115.0,
Detailed trade matrix,Albania,Italy,Cattle,Import Quantity (Head),2011,1549.0,
Detailed trade matrix,Albania,Netherlands,Cattle,Import Quantity (Head),2011,34.0,
Detailed trade matrix,Albania,Romania,Cattle,Import Quantity (Head),2011,154.0,
Detailed trade matrix,Albania,Serbia,Cattle,Import Quantity (Head),2011,626.0,
Detailed trade matrix,Albania,Slovakia,Cattle,Import Quantity (Head),2011,90.0,
Detailed trade matrix,Albania,The former Yugoslav Republic of Macedonia,Cattle,Import Quantity (Head),2011,7768.0,
Detailed trade matrix,Algeria,Austria,Cattle,Import Quantity (Head),2011,2447.0,
Detailed trade matrix,Algeria,France,Cattle,Import Quantity (Head),2011,98640.0,
Detailed trade matrix,Algeria,Germany,Cattle,Import Quantity (Head),2011,8252.0,
Detailed trade matrix,Algeria,Netherlands,Cattle,Import Quantity (Head),2011,1075.0,
Detailed trade matrix,Algeria,Spain,Cattle,Import Quantity (Head),2011,391.0,
Detailed trade matrix,Argentina,Chile,Cattle,Import Quantity (Head),2011,90.0,
Detailed trade matrix,Argentina,Uruguay,Cattle,Import Quantity (Head),2011,611.0,
Detailed trade matrix,Armenia,Austria,Cattle,Import Quantity (Head),2011,99.0,
Detailed trade matrix,Armenia,Denmark,Cattle,Import Quantity (Head),2011,200.0,
Detailed trade matrix,Armenia,Georgia,Cattle,Import Quantity (Head),2011,340.0,
Detailed trade matrix,Armenia,Iran (Islamic Republic of),Cattle,Import Quantity (Head),2011,50.0,
Detailed trade matrix,Aruba,Netherlands,Cattle,Import Quantity (Head),2011,10.0,*
Detailed trade matrix,Aruba,Netherlands Antilles,Cattle,Import Quantity (Head),2011,6.0,*
Detailed trade matrix,Austria,Czech Republic,Cattle,Import Quantity (Head),2011,51062.0,
Detailed trade matrix,Austria,Denmark,Cattle,Import Quantity (Head),2011,21.0,
Detailed trade matrix,Austria,France,Cattle,Import Quantity (Head),2011,5679.0,
Detailed trade matrix,Austria,Germany,Cattle,Import Quantity (Head),2011,2436.0,
Detailed trade matrix,Austria,Greece,Cattle,Import Quantity (Head),2011,29.0,
Detailed trade matrix,Austria,Hungary,Cattle,Import Quantity (Head),2011,4613.0,
Detailed trade matrix,Austria,Italy,Cattle,Import Quantity (Head),2011,250.0,
Detailed trade matrix,Austria,Netherlands,Cattle,Import Quantity (Head),2011,496.0,
Detailed trade matrix,Austria,Romania,Cattle,Import Quantity (Head),2011,380.0,
Detailed trade matrix,Austria,Slovakia,Cattle,Import Quantity (Head),2011,16960.0,
Detailed trade matrix,Austria,Slovenia,Cattle,Import Quantity (Head),2011,20961.0,
Detailed trade matrix,Austria,Switzerland,Cattle,Import Quantity (Head),2011,77.0,
Detailed trade matrix,Azerbaijan,Georgia,Cattle,Import Quantity (Head),2011,5159.0,
Detailed trade matrix,Azerbaijan,Germany,Cattle,Import Quantity (Head),2011,1390.0,
Detailed trade matrix,Azerbaijan,Russian Federation,Cattle,Import Quantity (Head),2011,4243.0,
Detailed trade matrix,Bahrain,Kuwait,Cattle,Import Quantity (Head),2011,5.0,
Detailed trade matrix,Bahrain,Pakistan,Cattle,Import Quantity (Head),2011,160.0,
Detailed trade matrix,Bahrain,Somalia,Cattle,Import Quantity (Head),2011,178.0,
Detailed trade matrix,Bahrain,United Arab Emirates,Cattle,Import Quantity (Head),2011,303.0,
Detailed trade matrix,Barbados,United States of America,Cattle,Import Quantity (Head),2011,32.0,
Detailed trade matrix,Belarus,Hungary,Cattle,Import Quantity (Head),2011,458.0,
Detailed trade matrix,Belarus,Lithuania,Cattle,Import Quantity (Head),2011,658.0,
Detailed trade matrix,Belarus,Russian Federation,Cattle,Import Quantity (Head),2011,145.0,
Detailed trade matrix,Belgium,Czech Republic,Cattle,Import Quantity (Head),2011,398.0,
Detailed trade matrix,Belgium,Denmark,Cattle,Import Quantity (Head),2011,164.0,
Detailed trade matrix,Belgium,Estonia,Cattle,Import Quantity (Head),2011,5081.0,
Detailed trade matrix,Belgium,France,Cattle,Import Quantity (Head),2011,6296.0,
Detailed trade matrix,Belgium,Germany,Cattle,Import Quantity (Head),2011,33390.0,
Detailed trade matrix,Belgium,Ireland,Cattle,Import Quantity (Head),2011,2244.0,
Detailed trade matrix,Belgium,Italy,Cattle,Import Quantity (Head),2011,266.0,
